Subject,Course Number,Course Title,Requirement
SLAVIC,171,Readings in Yugoslav Literatures,Arts and Literature
SLAVIC,181,Readings in Russian Literature,Arts and Literature
SLAVIC,182,Pushkin,Arts and Literature
SOCIOL,160,Sociology of Culture,Arts and Literature
SPANISH,25,Reading and Analysis of Literary Texts,Arts and Literature
SPANISH,104A,Survey of Spanish American Literature,Arts and Literature
SPANISH,104B,Survey of Spanish American Literature,Arts and Literature
SPANISH,107A,Survey of Spanish Literature,Arts and Literature
SPANISH,107B,Survey of Spanish Literature,Arts and Literature
SPANISH,109,Spanish Drama of the 16th and 17th Centuries,Arts and Literature
SPANISH,111A,Cervantes,Arts and Literature
SPANISH,111B,Cervantes,Arts and Literature
SPANISH,113,Topics in Latin American Culture,Arts and Literature
SPANISH,135,Studies in Hispanic Literature,Arts and Literature
SSEASN,148,"Philippines: History, Literature, Performance",Arts and Literature
SSEASN,160,Philippine Cultural Politics,Arts and Literature
THEATER,5,Public Speaking and Presentation Skills,Arts and Literature
THEATER,10,Fundamentals of Acting I,Arts and Literature
THEATER,N10,Introduction to Acting,Arts and Literature
THEATER,11,Scene Study and Characterization,Arts and Literature
THEATER,N11,Scene Study and Character Development,Arts and Literature
THEATER,15,Improvisation for Performance,Arts and Literature
THEATER,20U,London: Theater Capital,Arts and Literature
THEATER,25AC,The Drama of American Cultures: An Introduction to Our Theater,Arts and Literature
THEATER,52AC,Dance in American Cultures,Arts and Literature
THEATER,100,Collaborative Innovation,Arts and Literature
THEATER,C107,Plays of Ibsen,Arts and Literature
THEATER,C108,Strindberg,Arts and Literature
THEATER,109,Fundamentals of Acting II,Arts and Literature
THEATER,110A,Intermediate Acting: Scene Study and Style,Arts and Literature
THEATER,110B,Intermediate Acting: Shakespeare,Arts and Literature
THEATER,111,Advanced Acting Studio,Arts and Literature
THEATER,112,Voice and Speech,Arts and Literature
THEATER,113A,International Performance and Literature: Irish Theater: Origins and the Contemporary Scene,Arts and Literature
THEATER,114,Performance Workshop,Arts and Literature
THEATER,115,Advanced Acting: Company Class,Arts and Literature
THEATER,118AC,"Performance, Television, and Social Media",Arts and Literature
THEATER,119,Performance Theory,Arts and Literature
THEATER,121,Performance and Culture,Arts and Literature
THEATER,122,African Theater and Performance,Arts and Literature
THEATER,125,Performance and History,Arts and Literature
THEATER,126,Performance Literatures,Arts and Literature
THEATER,139A,Fundamentals of Playwriting,Arts and Literature
THEATER,139B,Playwriting,Arts and Literature
THEATER,140,Pedagogy for Movement Based Classes - Undergraduate Level,Arts and Literature
THEATER,N141,Intermediate Modern Dance,Arts and Literature
THEATER,N142,Advanced Modern Dance Technique,Arts and Literature
THEATER,144,Sources of Movement,Arts and Literature
THEATER,145,Music Resources for Performance,Arts and Literature
THEATER,151A,Theater History,Arts and Literature
THEATER,151B,Theater History,Arts and Literature
THEATER,153B,Changing Forms in 20th-Century Dance,Arts and Literature
THEATER,162,Fundamentals of Stage Directing,Arts and Literature
THEATER,163,Stage Directing,Arts and Literature
THEATER,175A,Scenography: Lighting Design for the Theatre,Arts and Literature
THEATER,175B,Scenography: Lighting Design for the Theatre,Arts and Literature
THEATER,178,Video Production for Performance,Arts and Literature
THEATER,C183A,Performance: An African American Perspective,Arts and Literature
THEATER,C183B,Research-to-Performance Laboratory,Arts and Literature
THEATER,C183C,Black Theatre Workshop,Arts and Literature
TIBETAN,110A,Intensive Readings in Tibetan,Arts and Literature
TIBETAN,110B,Intensive Readings in Tibetan,Arts and Literature
TURKISH,101A,Readings in Modern Turkish,Arts and Literature
TURKISH,101B,Readings in Modern Turkish,Arts and Literature
UGIS,C135,Visual Autobiography,Arts and Literature
UGIS,C136,"The American Forest: Its Ecology, History, and Representation",Arts and Literature
UGIS,160A,Art,Arts and Literature
VIETNMS,101B,Advanced Vietnamese,Arts and Literature
VISSTD,181,Introduction to Photography,Arts and Literature
VISSTD,185X,Selected Topics: Word and Image,Arts and Literature
VISSTD,C185A,Visual Autobiography,Arts and Literature
VISSTD,186X,Selected Topics: Photography: Special Topics: Photography,Arts and Literature
ANTHRO,1,Introduction to Biological Anthropology,Biological Science
ANTHRO,105,Primate Evolution,Biological Science
ANTHRO,106,Primate Behavior,Biological Science
ANTHRO,107,Evolution of the Human Brain,Biological Science
ASTRON,C13,Origins: from the Big Bang to the Emergence of Humans,Biological Science
BIOLOGY,1A,General Biology Lecture,Biological Science
BIOLOGY,1B,General Biology Lecture and Laboratory,Biological Science
CHEM,C130,Biophysical Chemistry: Physical Principles and the Molecules of Life,Biological Science
COGSCI,C102,Scientific Approaches to Consciousness,Biological Science
COGSCI,C126,Perception,Biological Science
COGSCI,C147,Language Disorders,Biological Science
ENGLISH,C77,Introduction to Environmental Studies,Biological Science
ENVSCI,10,Introduction to Environmental Sciences,Biological Science
EPS,C82,Oceans,Biological Science
EPS,N82,Introduction to Oceans,Biological Science
EPS,C129,Biometeorology,Biological Science
ESPM,2,The Biosphere,Biological Science
ESPM,6,Environmental Biology,Biological Science
ESPM,C10,Environmental Issues,Biological Science
ESPM,C11,Americans and the Global Forest,Biological Science
ESPM,C12,Introduction to Environmental Studies,Biological Science
ESPM,15,Introduction to Environmental Sciences,Biological Science
ESPM,40,Insects and Human Society,Biological Science
ESPM,C46,Climate Change and the Future of California,Biological Science
ESPM,100,Environmental Problem Solving,Biological Science
ESPM,105A,Sierra Nevada Ecology,Biological Science
ESPM,106,American Wildlife: Identification and Conservation,Biological Science
ESPM,114,Wildlife Ecology,Biological Science
ESPM,117,Urban Garden Ecosystems,Biological Science
ESPM,108A,"Trees: Taxonomy, Growth, and Structures",Biological Science
ESPM,108B,Environmental Change Genetics,Biological Science
ESPM,118,Agricultural Ecology,Biological Science
ESPM,C129,Biometeorology,Biological Science
ESPM,131,Soil Microbial Ecology,Biological Science
ESPM,C167,Environmental Health and Development,Biological Science
ESPM,181A,Fire Ecology,Biological Science
ESPM,186,Management and Conservation of Rangeland Ecosystems,Biological Science
GEOG,40,Introduction to Earth System Science,Biological Science
GEOG,C82,Oceans,Biological Science
GEOG,148,Biogeography,Biological Science
INTEGBI,C13,Origins: from the Big Bang to the Emergence of Humans,Biological Science
INTEGBI,31,The Ecology and Evolution of Animal Behavior,Biological Science
INTEGBI,C32,Bioinspired Design,Biological Science
INTEGBI,35AC,Human Biological Variation,Biological Science
INTEGBI,37,Topics in Paleontology: The Antecedents of Man,Biological Science
INTEGBI,42,Primate Biology,Biological Science
INTEGBI,C82,Oceans,Biological Science
LDARCH,12,Environmental Science for Sustainable Development,Biological Science
LDARCH,110,Ecological Analysis,Biological Science
LINGUIS,C147,Language Disorders,Biological Science
LS,C30T,Drugs and the Brain,Biological Science
LS,C30U,Americans and the Global Forest,Biological Science
LS,C30V,Environmental Issues,Biological Science
LS,C30X,Big Ideas in Cell Biology,Biological Science
LS,C30Y,Biology for Voters,Biological Science
LS,C30Z,Bioinspired Design,Biological Science
LS,C46,Climate Change and the Future of California,Biological Science
MCELLBI,C31,Big Ideas in Cell Biology,Biological Science
MCELLBI,32,Introduction to Human Physiology,Biological Science
MCELLBI,41,Genetics and Society,Biological Science
MCELLBI,C44,Biology for Voters,Biological Science
MCELLBI,50,The Immune System and Disease,Biological Science
MCELLBI,55,Plagues and Pandemics,Biological Science
MCELLBI,C61,"Brain, Mind, and Behavior",Biological Science
MCELLBI,W61,"Brain, Mind, and Behavior",Biological Science
MCELLBI,C62,Drugs and the Brain,Biological Science
MCELLBI,63,Introduction to Functional Neuroanatomy,Biological Science
MCELLBI,C64,Exploring the Brain: Introduction to Neuroscience,Biological Science
MCELLBI,C100A,Biophysical Chemistry: Physical Principles and the Molecules of Life,Biological Science
MCELLBI,102,Survey of the Principles of Biochemistry and Molecular Biology,Biological Science
NUSCTX,10,Introduction to Human Nutrition,Biological Science
NUSCTX,11,Introduction to Toxicology,Biological Science
PBHLTH,C160,Environmental Health and Development,Biological Science
PBHLTH,170B,Toxicology,Biological Science
PHYSED,32,Fitness for Life: Physical Adaptations to Exercise,Biological Science
PHYSICS,177,Principles of Molecular Biophysics,Biological Science
PLANTBI,11,"Fungi, History, and Society",Biological Science
PLANTBI,40,The (Secret) Life of Plants,Biological Science
PSYCH,C19,Drugs and the Brain,Biological Science
PSYCH,C61,"Brain, Mind, and Behavior",Biological Science
PSYCH,C64,Exploring the Brain: Introduction to Neuroscience,Biological Science
PSYCH,110,Introduction to Biological Psychology,Biological Science
PSYCH,N110,Introduction to Biological Psychology,Biological Science
PSYCH,125,The Developing Brain,Biological Science
PSYCH,C126,Perception,Biological Science
PSYCH,C129,Scientific Approaches to Consciousness,Biological Science
PSYCH,133,Psychology of Sleep,Biological Science
AFRICAM,4A,Africa: History and Culture,Historical Studies
AFRICAM,4B,Africa: History and Culture,Historical Studies
AFRICAM,5A,African American Life and Culture in the United States,Historical Studies
AFRICAM,5B,African American Life and Culture in the United States,Historical Studies
AFRICAM,111,"Race, Class, and Gender in the United States",Historical Studies
AFRICAM,W111,"Race, Class, and Gender",Historical Studies
AFRICAM,116,Slavery and African American Life Before 1865,Historical Studies
AFRICAM,117,"African Americans in the Industrial Age, 1865-1970",Historical Studies
AFRICAM,121,Black Political Life in the United States,Historical Studies
AFRICAM,122,African American Families in American Society,Historical Studies
AFRICAM,123,Social and Political Thought in the Diaspora,Historical Studies
AFRICAM,125,History of the Civil Rights Movement,Historical Studies
AFRICAM,131,Caribbean Societies and Cultures,Historical Studies
AFRICAM,138,Black Nationalism,Historical Studies
AFRICAM,173AC,Gandhi and the Civil Rights Movement in America,Historical Studies
AFRICAM,C178,Cultural Studies,Historical Studies
AMERSTD,10,Introduction to American Studies,Historical Studies
AMERSTD,C10,"Introduction to American Studies: Hollywood: the Place, the Industry, the Fantasy",Historical Studies
AMERSTD,10AC,Introduction to American Studies,Historical Studies
AMERSTD,C112A,"American Cultural Landscapes, 1600 to 1900",Historical Studies
AMERSTD,C112B,"American Cultural Landscapes, 1900 to Present",Historical Studies
AMERSTD,C112F,"The American Forest: Its Ecology, History, and Representation",Historical Studies
AMERSTD,C132B,Intellectual History of the United States since 1865,Historical Studies
AMERSTD,139AC,Civil Rights and Social Movements in U.S. History,Historical Studies
AMERSTD,C171,The American Designed Landscape Since 1850,Historical Studies
AMERSTD,C172,History of American Business,Historical Studies
ANTHRO,2,Introduction to Archaeology,Historical Studies
ANTHRO,2AC,Introduction to Archaeology,Historical Studies
ANTHRO,10AC,The California Frontier,Historical Studies
ANTHRO,114,History of Anthropological Thought,Historical Studies
ANTHRO,121A,American Material Culture,Historical Studies
ANTHRO,121AC,American Material Culture,Historical Studies
ANTHRO,121B,Historical Archaeology: Theoretical Approaches in American Historical Archaeology,Historical Studies
ANTHRO,122A,Archaeology of the Americas: Archaeology of North America,Historical Studies
ANTHRO,122C,Archaeology of the Americas: Archaeology of Central America,Historical Studies
ANTHRO,122E,Archaeology of the Americas: Andean Archaeology: People of the Andes,Historical Studies
ANTHRO,122F,Archaeology of the Americas: California Archaeology,Historical Studies
ANTHRO,123E,Mediterranean Archaeology,Historical Studies
ANTHRO,124A,Pacific Cultures: Archaeology of the South Pacific,Historical Studies
ANTHRO,129A,Topical Areas in Archaeology: Prehistoric Art,Historical Studies
ANTHRO,C129F,The Archaeology of Health and Disease,Historical Studies
ANTHRO,174AC,California Historical Anthropology,Historical Studies
ANTHRO,180,European Society,Historical Studies
ANTHRO,183,Topics in the Anthropological Study of Africa,Historical Studies
ARCH,170A,An Historical Survey of Architecture and Urbanism,Historical Studies
ARCH,170B,An Historical Survey of Architecture and Urbanism,Historical Studies
ASAMST,20A,Introduction to the History of Asians in the United States,Historical Studies
ASAMST,121,Chinese American History,Historical Studies
ASAMST,122,Japanese American History,Historical Studies
ASAMST,123,Korean American History,Historical Studies
ASAMST,124,Filipino American History,Historical Studies
ASAMST,128AC,Muslims in America,Historical Studies
ASAMST,131,Asian Diaspora(s) from an Asian American Perspective,Historical Studies
ASAMST,175,Contemporary Narratives on the Philippines and the United States,Historical Studies
BUDDSTD,C114,Tibetan Buddhism,Historical Studies
BUDDSTD,C115,Japanese Buddhism,Historical Studies
BUDDSTD,C116,Buddhism in China,Historical Studies
BUDDSTD,C117,Mongolian Buddhism,Historical Studies
BUDDSTD,C120,Buddhism on the Silk Road,Historical Studies
BUDDSTD,C132,Pure Land Buddhism,Historical Studies
BUDDSTD,150,The Origins and Development of Buddhist Art in South Asia,Historical Studies
CELTIC,70,The World of the Celts,Historical Studies
CELTIC,128,Medieval Celtic Culture,Historical Studies
CELTIC,173,Celtic Christianity,Historical Studies
CHICANO,135A,Latino Narrative Film: to the 1980s,Historical Studies
CHICANO,135B,Latino Narrative Film Since 1990,Historical Studies
CHICANO,150B,History of the Southwest: Mexican-United States War to Present,Historical Studies
CHICANO,152,The History of Latina/o Studies,Historical Studies
CHICANO,162,The U.S. Role in Central America,Historical Studies
CHINESE,7A,Introduction to Premodern Chinese Literature and Culture,Historical Studies
CHINESE,51,Chinese Thought in the Han Dynasty,Historical Studies
CHINESE,C116,Buddhism in China,Historical Studies
CLASSIC,10A,Introduction to Greek Civilization,Historical Studies
CLASSIC,10B,Introduction to Roman Civilization,Historical Studies
CLASSIC,17A,Introduction to the Archaeology of the Greek World,Historical Studies
CLASSIC,17B,Introduction to the Archaeology of the Roman World,Historical Studies
CLASSIC,29,Introduction to Greco-Roman Magic,Historical Studies
CLASSIC,36,Greek Philosophy,Historical Studies
CLASSIC,R44,Roots of Western Civilization,Historical Studies
CLASSIC,121,Ancient Religion,Historical Studies
CLASSIC,161,"Gender, Sexuality, and Culture in the Ancient World",Historical Studies
COGSCI,C103,History of Information,Historical Studies
COLWRIT,50AC,"Researching Water in the West: Its Presence, Its Absence, and Its Consequences for the Peoples of Ca",Historical Studies
COLWRIT,150AC,"Researching Water in the West: Its Presence, Its Absence, and Its Consequences for the Peoples of Ca",Historical Studies
COLWRIT,181,Global London,Historical Studies
CYPLAN,110,Introduction to City Planning,Historical Studies
DEMOG,145AC,The American Immigrant Experience,Historical Studies
DEVSTD,C100,History of Development and Underdevelopment,Historical Studies
DUTCH,173,Dutch Post-Colonial Studies,Historical Studies
DUTCH,177,"The Amsterdam-Brussels Connection: The Art, History, and Literature of the Netherlands and Flanders",Historical Studies
DUTCH,C178,Cultural Studies,Historical Studies
EALANG,107,"War, Empire, and Literature in East Asia",Historical Studies
EALANG,109,History of the Culture of Tea in China and Japan,Historical Studies
EALANG,111,Reading Global Politics in Contemporary East Asian Literature,Historical Studies
EALANG,112,The East Asian Sixties,Historical Studies
EALANG,118,Sex and Gender in Premodern Chinese Culture,Historical Studies
EALANG,C120,Buddhism on the Silk Road,Historical Studies
EALANG,C132,Pure Land Buddhism,Historical Studies
ECON,105,History of Economic Thought,Historical Studies
ECON,113,American Economic History,Historical Studies
ECON,115,The World Economy in the Twentieth Century,Historical Studies
ECON,134,Macroeconomic Policy from the Great Depression to Today,Historical Studies
EDUC,183,"High School, The Movie",Historical Studies
ENGLISH,101,The History of the English Language,Historical Studies
ENVDES,10,The History of Thought in Environmental Design,Historical Studies
ENVDES,C169A,"American Cultural Landscapes, 1600 to 1900",Historical Studies
ENVDES,C169B,"American Cultural Landscapes, 1900 to Present",Historical Studies
ESPM,50AC,Introduction to Culture and Natural Resource Management,Historical Studies
ESPM,160AC,American Environmental and Cultural History,Historical Studies
ESPM,166,Natural Resource Policy and Indigenous Peoples,Historical Studies
ESPM,C191,"The American Forest: Its Ecology, History, and Representation",Historical Studies
ETHSTD,10AC,"A History of Race and Ethnicity in Western North America, 1598-Present",Historical Studies
ETHSTD,21AC,A Comparative Survey of Racial and Ethnic Groups in the U.S,Historical Studies
ETHSTD,41AC,A Comparative Survey of Protest Movements Since the 60's,Historical Studies
ETHSTD,C73AC,Indigenous Peoples in Global Inequality,Historical Studies
ETHSTD,173AC,Indigenous Peoples in Global Inequality,Historical Studies
ETHSTD,181AC,Prison,Historical Studies
FILM,25A,The History of Film,Historical Studies
FILM,25B,The History of Film,Historical Studies
FILM,129,History of Avant-Garde Film,Historical Studies
FILM,160,National Cinema,Historical Studies
FRENCH,43A,Aspects of French Culture,Historical Studies
FRENCH,145,History of the French Language,Historical Studies
FRENCH,161A,A Year in French History,Historical Studies
FRENCH,161B,A Year in French History,Historical Studies
FRENCH,162A,Perspectives on History,Historical Studies
FRENCH,162B,Perspectives on History,Historical Studies
FRENCH,171A,A Concept in French Cultural History,Historical Studies
FRENCH,171B,A Concept in French Cultural History,Historical Studies
FRENCH,180A,French Civilization,Historical Studies
FRENCH,180C,French Civilization,Historical Studies
FRENCH,180D,French Civilization,Historical Studies
FRENCH,183A,Configurations of Crisis,Historical Studies
FRENCH,183B,Configurations of Crisis,Historical Studies
GEOG,C55,Introduction to Central Asia,Historical Studies
GEOG,70AC,The Urban Experience,Historical Studies
GEOG,C112,History of Development and Underdevelopment,Historical Studies
GEOG,C152,Multicultural Europe,Historical Studies
GEOG,C160A,"American Cultural Landscapes, 1600 to 1900",Historical Studies
GEOG,C160B,"American Cultural Landscapes, 1900 to Present",Historical Studies
GERMAN,C25,"Revolutionary Thinking: Marx, Nietzsche, Freud",Historical Studies
GERMAN,123,From 1800 to the Present,Historical Studies
GERMAN,157B,"German Intellect Hist in a Euro. Context: Hist Figs & Cont Reflect: Marx,Nietzsche,Freu",Historical Studies
GERMAN,C157B,"Marx, Nietzsche, Freud",Historical Studies
GERMAN,157C,German Intellect Hist in a Euro. Context: Hist Figs & Cont Reflect: Heidegger & Arendt,Historical Studies
GERMAN,157D,"German Intellect Hist in a Euro. Context: Hist Figs & Cont Reflect:Adorno, Benjamin, Habermas",Historical Studies
GERMAN,160K,Politics and Culture in 20th-Century Germany: The Weimar Republic: Politics and Culture 1918-1933,Historical Studies
GERMAN,160L,European Cultures,Historical Studies
GREEK,120,Herodotus,Historical Studies
GREEK,121,Thucydides,Historical Studies
GREEK,122,Attic Oratory,Historical Studies
GWS,100AC,Women in American Culture,Historical Studies
GWS,120,The History of American Women,Historical Studies
HISTART,10,Introduction to Western Art: Ancient to Medieval,Historical Studies
HISTART,N10,Introduction to Western Art: Ancient to Medieval,Historical Studies
HISTART,10B,History of Western Art: Renaissance to Modern,Historical Studies
HISTART,11,Introduction to Western Art: Renaissance to the Present,Historical Studies
HISTART,12,History of Western Art: Renaissance to Modern,Historical Studies
HISTART,15,London Museums,Historical Studies
HISTART,N31,Arts of East Asia,Historical Studies
HISTART,41,Introduction to Greek and Roman Art,Historical Studies
HISTART,51,Introduction to Medieval Art,Historical Studies
HISTART,61,Introduction to the History of Art: Sculpture,Historical Studies
HISTART,C62,Introduction to Italian Renaissance Art,Historical Studies
HISTART,65,Arts of the Renaissance and Reformation,Historical Studies
HISTART,80,Introduction to Modern Art,Historical Studies
HISTART,88,Arts of Latin America,Historical Studies
HISTART,100,Theories and Methods of Art History,Historical Studies
HISTART,N100,Theories and Methods of Art History,Historical Studies
HISTART,101,Theories & Methods for a Global History of Art,Historical Studies
HISTART,N104,Gender and Representation,Historical Studies
HISTART,107,Images and the Law,Historical Studies
HISTART,108,Cities and the Arts,Historical Studies
HISTART,120,"The ""Origins"" of Art",Historical Studies
HISTART,C120A,The Art of Ancient Mesopotamia: 3500-1000 BCE,Historical Studies
HISTART,C120B,The Art of Ancient Mesopotamia: 1000-330 BCE,Historical Studies
HISTART,127,The Arts of Africa,Historical Studies
HISTART,130A,"Early Chinese Art, Part I",Historical Studies
HISTART,131A,Sacred Arts in China,Historical Studies
HISTART,131B,The Classical Painting Tradition in China,Historical Studies
HISTART,131C,Art and Propaganda in Modern China,Historical Studies
HISTART,134A,Topics in Buddhist Art and Architecture: Buddhist Temple Art & Architecture in Japan,Historical Studies
HISTART,134B,Topics in Buddhist Art and Architecture: Buddhist Icons in Japan,Historical Studies
HISTART,134C,Topics in Buddhist Art and Architecture: Buddhist Art in the Modern/Contemporary World,Historical Studies
HISTART,136A,South Asian Art: Ancient,Historical Studies
HISTART,136B,South Asian Art: Early Modern,Historical Studies
HISTART,136C,The Art of India: 1350 A.D. to the Present,Historical Studies
HISTART,137,The Art of Southeast Asia,Historical Studies
HISTART,141A,The Art of Ancient Greece: Archaic Greek Art and Architecture (750-480 B.C.),Historical Studies
HISTART,141B,The Art of Ancient Greece: Classical Greek Art and Architecture (500-320 B.C.),Historical Studies
HISTART,141C,The Art of Ancient Greece: Hellenistic Art and Architecture (330-30 B.C.),Historical Studies
HISTART,N142,Introduction to Archaeology: The Tel Dor Excavation,Historical Studies
HISTART,145,Roman Art,Historical Studies
HISTART,155A,"Relics, Reliquaries and Cult Images",Historical Studies
HISTART,156A,Gothic Art in Northern Europe: 1150-1270,Historical Studies
HISTART,C156B,Art and Science,Historical Studies
HISTART,C158,Art and Science,Historical Studies
HISTART,160,Renaissance Art in Florence 1400-1600,Historical Studies
HISTART,161,Renaissance Art in Rome 1400-1600,Historical Studies
HISTART,162,Renaissance Art in Venice 1400-1600,Historical Studies
HISTART,166,Van Eyck to Brueghel,Historical Studies
HISTART,169A,"Elizabethan Renaissance: Art, Culture, and Visuality",Historical Studies
HISTART,170,Southern Baroque Art,Historical Studies
HISTART,171,Visual Culture in Early Modern Spain and Colonial Latin America,Historical Studies
HISTART,172,The Dutch Golden Age,Historical Studies
HISTART,173,The Age of Rubens,Historical Studies
HISTART,174,Types of Dutch and Flemish Painting in the 17th Century,Historical Studies
HISTART,175,Visual Culture in Early Modern France: Renaissance to Enlightenment,Historical Studies
HISTART,179,Eighteenth-Century British Art,Historical Studies
HISTART,180A,Nineteenth-Century Europe: Age of Revolution,Historical Studies
HISTART,180C,Nineteenth-Century Europe: The Invention of Avant-Gardes,Historical Studies
HISTART,N180C,Nineteenth-Century Europe: The Invention of Avant-Gardes,Historical Studies
HISTART,N181,French Art of the 19th Century,Historical Studies
HISTART,182,Histories of Photography,Historical Studies
HISTART,N182,Histories of Photography,Historical Studies
HISTART,183,Art and Colonialism,Historical Studies
HISTART,183E,American Painting and Photography from the Civil War to WW II,Historical Studies
HISTART,185,From Manet to Mondrian,Historical Studies
HISTART,185A,American Art (1800-Present),Historical Studies
HISTART,185B,American Architecture: Domestic Forms,Historical Studies
HISTART,N185C,Contemporary American Art,Historical Studies
HISTART,186A,Art in the Early 20th Century,Historical Studies
HISTART,186C,Art in the Later 20th Century,Historical Studies
HISTART,N186C,Art in the Later 20th Century,Historical Studies
HISTART,187AC,Race and Representation in the Twentieth Century in the United States,Historical Studies
HISTART,188,Latin American Art,Historical Studies
HISTART,188A,Latin American Art: Before Columbus,Historical Studies
HISTART,C189,"The American Forest: Its Ecology, History, and Representation",Historical Studies
HISTART,190A,Asian,Historical Studies
HISTART,190B,Ancient,Historical Studies
HISTART,190C,Medieval,Historical Studies
HISTART,190DH,Digital Humanities for Art Historians,Historical Studies
HISTART,190E,17th-18th Century,Historical Studies
HISTART,190F,19th-20th Century,Historical Studies
HISTART,190G,American/British,Historical Studies
HISTART,190M,Special Topics in Fields of Art History: Global Modernism,Historical Studies
HISTART,190T,Transcultural,Historical Studies
HISTORY,2,Comparative World History,Historical Studies
HISTORY,3,After the Roman Empire: the East,Historical Studies
HISTORY,4A,Origins of Western Civilization: The Ancient Mediterranean World,Historical Studies
HISTORY,4B,Origins of Western Civilization: Medieval Europe,Historical Studies
HISTORY,5,European Civilization from the Renaissance to the Present,Historical Studies
HISTORY,W5,European Civilization from the Renaissance to the Present,Historical Studies
HISTORY,6,Chinese Civilization,Historical Studies
HISTORY,6A,History of China: Origins to the Mongol Conquest,Historical Studies
HISTORY,6B,Introduction to Chinese History from the Mongols to Mao,Historical Studies
HISTORY,7A,Introduction to the History of the United States: The United States from Settlement to Civil War,Historical Studies
HISTORY,7B,Introduction to the History of the United States: The United States from Civil War to Present,Historical Studies
HISTORY,8A,"Latin American History: Becoming Latin America, 1492 to 1824",Historical Studies
HISTORY,8B,Latin American History: Modern Latin America,Historical Studies
HISTORY,10,African History,Historical Studies
HISTORY,11,India,Historical Studies
HISTORY,12,The Middle East,Historical Studies
HISTORY,14,Introduction to the History of Japan,Historical Studies
HISTORY,30,Science and Society,Historical Studies
HISTORY,39N,Freshman Sophomore Seminar,Historical Studies
HISTORY,39R,Freshman Sophomore Seminar,Historical Studies
HISTORY,100AC,Special Topics in the History of the United States,Historical Studies
HISTORY,100AP,Special Topics in Ancient History,Historical Studies
HISTORY,100B,Special Topics in European History,Historical Studies
HISTORY,100BP,Special Topics in Medieval History,Historical Studies
HISTORY,100D,Special Topics in the History of the United States,Historical Studies
HISTORY,100E,Special Topics in Latin American History,Historical Studies
HISTORY,100F,Special Topics in Asian History,Historical Studies
HISTORY,100H,Special Topics in African History,Historical Studies
HISTORY,100L,Special Topics in Legal History,Historical Studies
HISTORY,100M,Special Topics in the History of the Middle East,Historical Studies
HISTORY,100S,Special Topics in the History of Science,Historical Studies
HISTORY,100U,Special Topics in Comparative History,Historical Studies
HISTORY,100UP,Special Topics in Comparative History,Historical Studies
HISTORY,101,Seminar in Historical Research and Writing for History Majors,Historical Studies
HISTORY,104,The Craft of History,Historical Studies
HISTORY,105A,Ancient Greece: Archaic and Classical Greek History,Historical Studies
HISTORY,105B,Ancient Greece: The Greek World: 403-31 BCE,Historical Studies
HISTORY,106A,Ancient Rome: The Roman Republic,Historical Studies
HISTORY,N106A,The Roman Republic,Historical Studies
HISTORY,106B,Ancient Rome: The Roman Empire,Historical Studies
HISTORY,N106B,The Roman Empire,Historical Studies
HISTORY,108,Byzantium,Historical Studies
HISTORY,109A,"The Rise of Islamic Civilization, 600-1200",Historical Studies
HISTORY,109B,"The Middle East, 1000-1750",Historical Studies
HISTORY,109C,The Middle East From the 18th Century to the Present,Historical Studies
HISTORY,N109C,The Middle East From the 18th Century to the Present,Historical Studies
HISTORY,111A,Topics in the History of Southest Asia: Southeast Asia to the 18th Century,Historical Studies
HISTORY,111B,Topics in the History of Southest Asia: Modern Southeast Asia,Historical Studies
HISTORY,C111B,Modern Southeast Asia,Historical Studies
HISTORY,111C,Topics in the History of Southest Asia: Political and Cultural History of Vietnam,Historical Studies
HISTORY,111D,Vietnam at War,Historical Studies
HISTORY,112B,"Africa: Modern South Africa, 1652-Present",Historical Studies
HISTORY,N112B,"Modern South Africa, 1652-Present",Historical Studies
HISTORY,112C,Colonialism and Nationalism in Africa,Historical Studies
HISTORY,113A,Traditional Korean History,Historical Studies
HISTORY,113B,Modern Korean History,Historical Studies
HISTORY,114A,India: Medieval and Early Modern India to the Coming of the British,Historical Studies
HISTORY,114B,India: Modern South Asia,Historical Studies
HISTORY,116A,China: Early China,Historical Studies
HISTORY,116B,China: Two Golden Ages: China During the Tang and Song Dynasties,Historical Studies
HISTORY,116C,China: Modern China,Historical Studies
HISTORY,116D,China: Twentieth-Century China,Historical Studies
HISTORY,116G,Imperial China and the World,Historical Studies
HISTORY,117A,Topics in Chinese History: Chinese Popular Culture,Historical Studies
HISTORY,117D,"Topics in Chinese History: The Chinese Body: Gender and Sex, Health, and Medicine",Historical Studies
HISTORY,118A,"Japan: Japan, Archaeological Period to 1800",Historical Studies
HISTORY,118B,Japan: Japan 1800-1900,Historical Studies
HISTORY,118C,Japan: Empire and Alienation: The 20th Century in Japan,Historical Studies
HISTORY,119A,Topics in Japanese History: Postwar Japan,Historical Studies
HISTORY,N119A,Postwar Japan,Historical Studies
HISTORY,120AC,American Environmental and Cultural History,Historical Studies
HISTORY,121B,The Colonial Period and American Revolution: The American Revolution,Historical Studies
HISTORY,122AC,Antebellum America: The Advent of Mass Society,Historical Studies
HISTORY,123,Civil War and Reconstruction,Historical Studies
HISTORY,124A,The Recent United States: The United States from the Late 19th Century to the Eve of World War II,Historical Studies
HISTORY,N124A,The United States from the Late 19th Century to the Eve of the World War II,Historical Studies
