depart	name	number	units
Mechanical Engineering (MEC ENG)	Critical Making	C205	4
Mechanical Engineering (MEC ENG)	Engineering Design and Prototyping: Pedagogy & Assessment	206	3
Mechanical Engineering (MEC ENG)	Advanced Orthopedic Biomechanics	C210	4
Mechanical Engineering (MEC ENG)	The Cell as a Machine	211	3
Mechanical Engineering (MEC ENG)	Heat and Mass Transport in Biomedical Engineering	C212	3
Mechanical Engineering (MEC ENG)	Fluid Mechanics of Biological Systems	C213	3
Mechanical Engineering (MEC ENG)	Advanced Tissue Mechanics	C214	3
Mechanical Engineering (MEC ENG)	Advanced Structural Aspects of Biomaterials	C215	4
Mechanical Engineering (MEC ENG)	Molecular Biomechanics and Mechanobiology of the Cell	C216	4
Mechanical Engineering (MEC ENG)	Biomimetic Engineering -- Engineering from Biology	C217	3
Mechanical Engineering (MEC ENG)	Introduction to MEMS Design	C218	4
Mechanical Engineering (MEC ENG)	Parametric and Optimal Design of MEMS	C219	3
Mechanical Engineering (MEC ENG)	Precision Manufacturing	220	3
Mechanical Engineering (MEC ENG)	Polymer Engineering	C223	3
Mechanical Engineering (MEC ENG)	Mechanical Behavior of Engineering Materials	224	3
Mechanical Engineering (MEC ENG)	Deformation and Fracture of Engineering Materials	C225	4
Mechanical Engineering (MEC ENG)	Tribology	226	3
Mechanical Engineering (MEC ENG)	Mechanical Behavior of Composite Materials	227	3
Mechanical Engineering (MEC ENG)	Design of Basic Electro-Mechanical Devices	229	3
Mechanical Engineering (MEC ENG)	Real-Time Applications of Mini and Micro Computers	230	4
Mechanical Engineering (MEC ENG)	Experiential Advanced Control Design I	C231A	3
Mechanical Engineering (MEC ENG)	Experiential Advanced Control Design II	C231B	3
Mechanical Engineering (MEC ENG)	Advanced Control Systems I	C232	3
Mechanical Engineering (MEC ENG)	Advanced Control Systems II	233	3
Mechanical Engineering (MEC ENG)	Multivariable Control System Design	234	3
Mechanical Engineering (MEC ENG)	Design of Microprocessor-Based Mechanical Systems	235	4
Mechanical Engineering (MEC ENG)	Control and Optimization of Distributed Parameters Systems	C236	3
Mechanical Engineering (MEC ENG)	Control of Nonlinear Dynamic Systems	237	3
Mechanical Engineering (MEC ENG)	Advanced Micro/Nano Mechanical Systems Laboratory	238	3
Mechanical Engineering (MEC ENG)	Advanced Design and Automation	239	4
Mechanical Engineering (MEC ENG)	Advanced Marine Structures I	240A	3
Mechanical Engineering (MEC ENG)	Advanced Marine Structures II	240B	3
Mechanical Engineering (MEC ENG)	Marine Hydrodynamics I	241A	3
Mechanical Engineering (MEC ENG)	Marine Hydrodynamics II	241B	3
Mechanical Engineering (MEC ENG)	Advanced Methods in Free-Surface Flows	243	3
Mechanical Engineering (MEC ENG)	Oceanic and Atmospheric Waves	245	3
Mechanical Engineering (MEC ENG)	Advanced Energy Conversion Principles	246	3
Mechanical Engineering (MEC ENG)	Heat Conduction	251	3
Mechanical Engineering (MEC ENG)	Heat Convection	252	3
Mechanical Engineering (MEC ENG)	Thermal Radiation	253	3
Mechanical Engineering (MEC ENG)	Thermodynamics I	254	3
Mechanical Engineering (MEC ENG)	Advanced Combustion Processes	255	3
Mechanical Engineering (MEC ENG)	Combustion	256	3
Mechanical Engineering (MEC ENG)	Advanced Combustion	257	3
Mechanical Engineering (MEC ENG)	Heat Transfer with Phase Change	258	3
Mechanical Engineering (MEC ENG)	Microscale Thermophysics and Heat Transfer	259	3
Mechanical Engineering (MEC ENG)	Advanced Fluid Mechanics I	260A	3
Mechanical Engineering (MEC ENG)	Advanced Fluid Mechanics II	260B	3
Mechanical Engineering (MEC ENG)	Hydrodynamic Stability and Instability	262	3
Mechanical Engineering (MEC ENG)	Turbulence	263	3
Mechanical Engineering (MEC ENG)	Geophysical and Astrophysical Fluid Dynamics	266	3
Mechanical Engineering (MEC ENG)	Physicochemical Hydrodynamics	C268	3
Mechanical Engineering (MEC ENG)	Oscillations in Linear Systems	273	3
Mechanical Engineering (MEC ENG)	Random Oscillations of Mechanical Systems	274	3
Mechanical Engineering (MEC ENG)	Advanced Dynamics	275	3
Mechanical Engineering (MEC ENG)	Oscillations in Nonlinear Systems	277	3
Mechanical Engineering (MEC ENG)	Introduction to Statistical Mechanics for Engineers	C279	3
Mechanical Engineering (MEC ENG)	Introduction to the Finite Element Method	280A	3
Mechanical Engineering (MEC ENG)	Finite Element Methods in Nonlinear Continua	280B	3
Mechanical Engineering (MEC ENG)	Methods of Tensor Calculus and Differential Geometry	281	3
Mechanical Engineering (MEC ENG)	Theory of Elasticity	282	3
Mechanical Engineering (MEC ENG)	Wave Propagation in Elastic Media	283	3
Mechanical Engineering (MEC ENG)	Nonlinear Theory of Elasticity	284	3
Mechanical Engineering (MEC ENG)	Foundations of the Theory of Continuous Media	285A	3
Mechanical Engineering (MEC ENG)	Surfaces of Discontinuity and Inhomogeneities in Deformable Continua	285B	3
Mechanical Engineering (MEC ENG)	Electrodynamics of Continuous Media	285C	3
Mechanical Engineering (MEC ENG)	Mechanics and Physics of Lipid Bilayers	C285E	3
Mechanical Engineering (MEC ENG)	Engineering Rheology	285D	3
Mechanical Engineering (MEC ENG)	Theory of Plasticity	286	3
Mechanical Engineering (MEC ENG)	Theory of Elastic Stability	288	3
Mechanical Engineering (MEC ENG)	Theory of Shells	289	3
Mechanical Engineering (MEC ENG)	Topics in Fluid Mechanics	290C	3
Mechanical Engineering (MEC ENG)	Hybrid Systems and Intelligent Control	C290S	3
Mechanical Engineering (MEC ENG)	Advanced Technical Communication: Proposals, Patents, and Presentations	C290X	3
Mechanical Engineering (MEC ENG)	Solid Modeling and CAD/CAM Fundamentals	290D	3
Mechanical Engineering (MEC ENG)	Laser Processing and Diagnostics	290G	3
Mechanical Engineering (MEC ENG)	Green Product Development: Design for Sustainability	290H	3
Mechanical Engineering (MEC ENG)	Sustainable Manufacturing	290I	3
Mechanical Engineering (MEC ENG)	Predictive Control for Linear and Hybrid Systems	290J	3
Mechanical Engineering (MEC ENG)	Innovation through Design Thinking	290KA	2
Mechanical Engineering (MEC ENG)	Life Cycle Thinking in Engineering Design	290KB	1
Mechanical Engineering (MEC ENG)	Introduction to Nano-Biology	290L	3
Mechanical Engineering (MEC ENG)	Expert Systems in Mechanical Engineering	290M	3
Mechanical Engineering (MEC ENG)	System Identification	290N	3
Mechanical Engineering (MEC ENG)	New Product Development: Design Theory and Methods	290P	3
Mechanical Engineering (MEC ENG)	Dynamic Control of Robotic Manipulators	290Q	3
Mechanical Engineering (MEC ENG)	Topics in Manufacturing	290R	3
Mechanical Engineering (MEC ENG)	Plasmonic Materials	290T	3
Mechanical Engineering (MEC ENG)	Interactive Device Design	290U	4
Mechanical Engineering (MEC ENG)	Topics in Energy, Climate, and Sustainability	290V	1
Mechanical Engineering (MEC ENG)	Advanced Special Topics in Bioengineering	292A	1
Mechanical Engineering (MEC ENG)	Advanced Special Topics in Controls	292B	1
Mechanical Engineering (MEC ENG)	Advanced Special Topics in Design	292C	1
Mechanical Engineering (MEC ENG)	Advanced Special Topics in Dynamics	292D	1
Mechanical Engineering (MEC ENG)	Advanced Special Topics in Energy Science and Technology	292E	1
Mechanical Engineering (MEC ENG)	Advanced Special Topics in Fluids	292F	1
Mechanical Engineering (MEC ENG)	Advanced Special Topics in Manufacturing	292G	1
Mechanical Engineering (MEC ENG)	Advanced Special Topics in Materials	292H	1
Mechanical Engineering (MEC ENG)	Advanced Special Topics in Mechanics	292I	1
Mechanical Engineering (MEC ENG)	Advanced Special Topics in MEMS/Nano	292J	1
Mechanical Engineering (MEC ENG)	Advanced Special Topics in Ocean Engineering	292K	1
Mechanical Engineering (MEC ENG)	Engineering Field Studies	297	1
Mechanical Engineering (MEC ENG)	Group Studies, Seminars, or Group Research	298	1
Mechanical Engineering (MEC ENG)	Individual Study or Research	299	1
Mechanical Engineering (MEC ENG)	Teaching of Mechanical Engineering at the University Level	375	1
Hebrew (HEBREW)	Elementary Hebrew	1A	5
Hebrew (HEBREW)	Elementary Hebrew	1B	5
Hebrew (HEBREW)	Intensive Elementary Hebrew	10	10
Hebrew (HEBREW)	Reading and Composition for Hebrew Speaking Students	11A	5
Hebrew (HEBREW)	Reading and Composition for Hebrew-Speaking Students	11B	5
Hebrew (HEBREW)	Intermediate Hebrew	20A	5
Hebrew (HEBREW)	Intermediate Hebrew	20B	5
Hebrew (HEBREW)	Intermediate Hebrew	30	10
Hebrew (HEBREW)	Advanced Hebrew	100A	3
Hebrew (HEBREW)	Advanced Hebrew	100B	3
Hebrew (HEBREW)	Postbiblical Hebrew Texts	102A	3
Hebrew (HEBREW)	Postbiblical Hebrew Texts	102B	3
Hebrew (HEBREW)	Later Rabbinic and Medieval Hebrew Texts	103A	3
Hebrew (HEBREW)	Later Rabbinic and Medieval Hebrew Texts	103B	3
Hebrew (HEBREW)	Modern Hebrew Literature and Culture	104A	3
Hebrew (HEBREW)	Modern Hebrew Literature and Culture	104B	3
Hebrew (HEBREW)	The Structure of Modern Hebrew	105A	3
Hebrew (HEBREW)	The Structure of Modern Hebrew	105B	3
Hebrew (HEBREW)	Elementary Biblical Hebrew	106A	3
Hebrew (HEBREW)	Elementary Biblical Hebrew	106B	3
Hebrew (HEBREW)	Elementary Biblical Hebrew	N106	6
Hebrew (HEBREW)	Biblical Hebrew Texts	107A	3
Hebrew (HEBREW)	Biblical Hebrew Texts	107B	3
Hebrew (HEBREW)	Intermediate Biblical Texts	111	3
Hebrew (HEBREW)	The Art and Culture of the Talmud: Advanced Textual Analysis	148A	3
Hebrew (HEBREW)	The Art and Culture of the Talmud: Advanced Textual Analysis	148B	3
Hebrew (HEBREW)	Special Topics in Hebrew	190B	3
Hebrew (HEBREW)	Senior Honors	H195	2
Hebrew (HEBREW)	Directed Group Study for Upper Division Students	198	1
Hebrew (HEBREW)	Supervised Independent Study and Research	199	1
Hebrew (HEBREW)	Advanced Biblical Hebrew Texts	201A	3
Hebrew (HEBREW)	Advanced Late Antique Hebrew Texts	202A	3
Hebrew (HEBREW)	Advanced Late Antique Hebrew Texts	202B	3
Hebrew (HEBREW)	Advanced Medieval Hebrew Texts	203A	3
Hebrew (HEBREW)	Advanced Medieval Hebrew Texts	203B	3
Hebrew (HEBREW)	Advanced Modern Hebrew Literature and Culture	204A	3
Hebrew (HEBREW)	Advanced Modern Hebrew Literature and Culture	204B	3
Hebrew (HEBREW)	Ancient and Modern Hebrew Literary Texts	206	3
Hebrew (HEBREW)	Seminar	298	1
Hebrew (HEBREW)	Teaching Hebrew in College	301A	3
Hebrew (HEBREW)	Teaching Hebrew in College	301B	3
French (FRENCH)	Elementary French	1	5
French (FRENCH)	English Composition in Connection with the Reading of Literature	R1A	4
French (FRENCH)	English Composition in Connection with the Reading of Literature	R1B	4
French (FRENCH)	Elementary French	2	5
French (FRENCH)	Intermediate French	3	5
French (FRENCH)	Advanced Intermediate French	4	5
French (FRENCH)	Intermediate Conversation	13	2
French (FRENCH)	Intermediate Conversation	N13	2
French (FRENCH)	Advanced Conversation	14	2
French (FRENCH)	Advanced Conversation	N14	2
French (FRENCH)	Freshman Seminars	24	1
French (FRENCH)	Practical Phonetics and Listening Comprehension	35	3
French (FRENCH)	The Cultures of Franco-America	42AC	3
French (FRENCH)	Aspects of French Culture	43A	3
French (FRENCH)	Aspects of French Culture	43B	3
French (FRENCH)	Reading and Writing Skills in French	102	4
French (FRENCH)	Language and Culture	103A	4
French (FRENCH)	Language and Culture	103B	4
French (FRENCH)	Medieval Literature	112A	4
French (FRENCH)	Medieval Literature	112B	4
French (FRENCH)	Late Medieval Literature	114A	4
French (FRENCH)	Sixteenth-Century Literature: Marot to Montaigne	116A	4
French (FRENCH)	Seventeenth-Century Literature	117A	4
French (FRENCH)	Seventeenth-Century Literature	117B	4
French (FRENCH)	Eighteenth-Century Literature	118A	4
French (FRENCH)	Eighteenth-Century Literature	118B	4
French (FRENCH)	Nineteenth-Century Literature	119A	4
French (FRENCH)	Nineteenth-Century Literature	119B	4
French (FRENCH)	Twentieth-Century Literature	120A	4
French (FRENCH)	Twentieth-Century Literature	120B	4
French (FRENCH)	Literary Themes, Genres, and Structures	121A	4
French (FRENCH)	Literary Themes, Genres, and Structures	121B	4
French (FRENCH)	Literary Criticism	122A	4
French (FRENCH)	Literary Criticism	122B	4
French (FRENCH)	Prose Fiction	123	4
French (FRENCH)	Poetics and Poetry	125A	4
French (FRENCH)	Senior Seminar	126	4
French (FRENCH)	French for Future Teachers of the Language	138	4
French (FRENCH)	Creative Writing in French	139	4
French (FRENCH)	French Literature in English Translation	140A	4
French (FRENCH)	French Literature in English Translation	140B	4
French (FRENCH)	French Literature in English Translation	140C	4
French (FRENCH)	French Literature in English Translation	140D	4
French (FRENCH)	French Studies in an International Context	141	4
French (FRENCH)	The Cultures of Franco-America	142AC	4
French (FRENCH)	History of the French Language	145	4
French (FRENCH)	Introduction to French Linguistics	146A	4
French (FRENCH)	Special Topics in French Linguistics	147	4
French (FRENCH)	Translation Methodology and Practice	148	4
French (FRENCH)	Women in French Literature	150A	4
French (FRENCH)	Women in French Literature	150B	4
French (FRENCH)	Francophone Literature	151A	4
French (FRENCH)	Francophone Literature	151B	4
French (FRENCH)	A Year in French History	161A	4
French (FRENCH)	A Year in French History	161B	4
French (FRENCH)	Perspectives on History	162A	4
French (FRENCH)	Perspectives on History	162B	4
French (FRENCH)	French Films	170	4
French (FRENCH)	A Concept in French Cultural History	171A	4
French (FRENCH)	A Concept in French Cultural History	171B	4
French (FRENCH)	Psychoanalytic Theory and Literature	172A	4
French (FRENCH)	Music and Literature	174	4
French (FRENCH)	Literature and the Visual Arts	175A	4
French (FRENCH)	Philosophy and Literature	176	4
French (FRENCH)	History and Criticism of Film	177A	4
French (FRENCH)	History and Criticism of Film	177B	4
French (FRENCH)	Studies in French Film	178A	4
French (FRENCH)	Studies in French Film	178B	4
French (FRENCH)	French Civilization	180A	4
French (FRENCH)	French Civilization	180B	4
French (FRENCH)	French Civilization	180C	4
French (FRENCH)	French Civilization	180D	4
French (FRENCH)	Configurations of Crisis	183A	4
French (FRENCH)	Configurations of Crisis	183B	4
French (FRENCH)	Literature and Colonialism	185	4
French (FRENCH)	Honors Sequence	H195A	2
French (FRENCH)	Honors Sequence	H195B	2
French (FRENCH)	Field Studies	197	1
French (FRENCH)	Supervised Independent Study and Research for Advanced Undergraduates	199	2
French (FRENCH)	Proseminar	200	1
French (FRENCH)	History of the French Language	201	4
French (FRENCH)	Linguistic History of the Romance Language	C202	4
French (FRENCH)	Comparative Studies in Romance Literatures and Cultures	C203	4
French (FRENCH)	Translation Theory and Practice	205	4
French (FRENCH)	Special Topics in French Linguistics	206	4
French (FRENCH)	Studies in Medieval Literature	210A	4
French (FRENCH)	Reading and Interpretation of Old French Texts	211A	4
French (FRENCH)	Studies in 16th-Century Literature	220A	4
French (FRENCH)	Studies in 16th-Century Literature	220B	4
French (FRENCH)	Studies in 17th-Century Literature	230A	4
French (FRENCH)	Studies in 17th-Century Literature	230B	4
French (FRENCH)	Studies in 18th-Century Literature	240A	4
French (FRENCH)	Studies in 18th-Century Literature	240B	4
French (FRENCH)	Early Modern Studies	245A	4
French (FRENCH)	Early Modern Studies	245B	4
French (FRENCH)	Studies in 19th-Century Literature	250A	4
French (FRENCH)	Studies in 19th-Century Literature	250B	4
French (FRENCH)	Francophone Literature	251	4
French (FRENCH)	Studies in 20th-Century Literature	260A	4
French (FRENCH)	Studies in 20th-Century Literature	260B	4
French (FRENCH)	Modern Studies	265A	4
French (FRENCH)	Modern Studies	265B	4
French (FRENCH)	Literary Criticism: Recent Work in French	270A	4
French (FRENCH)	Literary Criticism: Recent Work in French	270B	4
French (FRENCH)	Traditions of Critical Thought: French Theory	274	4
French (FRENCH)	Problems of Literary Theory	275A	4
French (FRENCH)	Special Study	298	1
French (FRENCH)	Individual Research	299	4
French (FRENCH)	Teaching French in College: First Year	301	4
French (FRENCH)	Teaching French in College: Advanced First Year	302	4
French (FRENCH)	Teaching French in College: Second Year	303	4
French (FRENCH)	Teaching French in College: Practical Phonetics and Listening Comprehension--Instruction on Creating a Web-Assisted Course	335	3
French (FRENCH)	Special Study for Graduate Students	601	1
French (FRENCH)	Individual Study	602	1
French (FRENCH)	Individual Study	N602	1
Public Health (PB HLTH)	Healthy People: Introduction to Health Promotion	14	4
Public Health (PB HLTH)	Healthy People: Introduction to Health Promotion	14N	3
Public Health (PB HLTH)	Introduction to Global Health Equity	15	3
Public Health (PB HLTH)	Freshman Seminar in Public Health	24	1
Public Health (PB HLTH)	Freshman/Sophomore Seminar	39C	2
Public Health (PB HLTH)	Freshman/Sophomore Seminar	39E	2
Public Health (PB HLTH)	Freshman/Sophomore Seminar	39G	2
Public Health (PB HLTH)	Freshman/Sophomore Seminar	39H	2
Public Health (PB HLTH)	Freshman/Sophomore Seminar	39I	2
Public Health (PB HLTH)	Sophomore Seminar	84	1
Public Health (PB HLTH)	Field Study	97	1
Public Health (PB HLTH)	Directed Group Study	98	1
Public Health (PB HLTH)	Supervised Independent Study	99	1
Public Health (PB HLTH)	A Sustainable World: Challenges and Opportunities	101	3
Public Health (PB HLTH)	Bacterial Pathogenesis	C102	3
Public Health (PB HLTH)	Drugs, Health, and Society	103	2
Public Health (PB HLTH)	Health Promotion in a College Setting	104A	2
Public Health (PB HLTH)	Health Promotion in a College Setting	104B	2
Public Health (PB HLTH)	Policy, Planning, and Evaluation of Health Promotion in a College Setting	105	3
Public Health (PB HLTH)	Violence, Social Justice, and Public Health	107	2
Public Health (PB HLTH)	Global Health: A Multidisciplinary Examination	112	4
Public Health (PB HLTH)	Campus/Community Health Impact Program	113	3
Public Health (PB HLTH)	Seminar on Social, Political, and Ethical Issues in Health and Medicine	116	3
Public Health (PB HLTH)	Introduction to Global Health Disparities Research	C117	2
Public Health (PB HLTH)	Nutrition in Developing Countries	118	3
Public Health (PB HLTH)	Health Economics and Public Policy	126	3
Public Health (PB HLTH)	The Aging Human Brain	129	3
Public Health (PB HLTH)	The Aging Human Brain	C129	3
Public Health (PB HLTH)	Advanced Health Policy	130	3
Public Health (PB HLTH)	Introduction to Risk and Demographic Statistics	140	4
Public Health (PB HLTH)	Introduction to Biostatistics	141	5
Public Health (PB HLTH)	Introduction to Probability and Statistics in Biology and Public Health	142	4
Public Health (PB HLTH)	Introduction to Probability and Statistics in Public Health and Biology	142AB	4
Public Health (PB HLTH)	Introduction to Probability and Statistics in Biology and Public Health	W142	4
Public Health (PB HLTH)	Introduction to SAS Programming	144A	2
Public Health (PB HLTH)	Intermediate SAS Programming	144B	2
Public Health (PB HLTH)	Statistical Analysis of Continuous Outcome Data	145	4
Public Health (PB HLTH)	Global Perspective on Vision	147	2
Public Health (PB HLTH)	Introduction to Epidemiology and Human Disease	150A	4
Public Health (PB HLTH)	Introduction to Environmental Health Sciences	150B	3
Public Health (PB HLTH)	Introduction to Health Policy and Management	150D	3
Public Health (PB HLTH)	Introduction to Community Health and Human Development	150E	3
Public Health (PB HLTH)	Sociology of Health and Medicine	C155	4
Public Health (PB HLTH)	Environmental Health and Development	C160	4
Public Health (PB HLTH)	Public Health Microbiology	162A	3
Public Health (PB HLTH)	Public Health Microbiology Laboratory	162L	1
Public Health (PB HLTH)	Toxicology	170B	3
Public Health (PB HLTH)	Drinking Water and Health	170C	3
Public Health (PB HLTH)	The Evolution of Human Sexuality	180	2
Public Health (PB HLTH)	Poverty and Population	181	3
Public Health (PB HLTH)	The History of Medicine, Public Health, and the Allied Health Sciences	183	3
Public Health (PB HLTH)	Special Study for Honors Candidates in Public Health	H195A	3
Public Health (PB HLTH)	Special Study for Honors Candidates in Public Health	H195B	3
Public Health (PB HLTH)	Special Topics in Public Health	196	1
Public Health (PB HLTH)	Field Study in Public Health	197	1
Public Health (PB HLTH)	Directed Group Study	198	1
Public Health (PB HLTH)	Supervised Independent Study and Research	199	1
Public Health (PB HLTH)	Current issues in Public Health Ethics: Research and Practice	200A	3
Public Health (PB HLTH)	Public Health Core Breadth Seminar	200C	3
Public Health (PB HLTH)	Applied Public Health: Putting Theory Into Practice	200D	2
Public Health (PB HLTH)	Health Policy and Management Breadth Course	200J	2
Public Health (PB HLTH)	Environmental Health Sciences Breadth Course	200K	2
Public Health (PB HLTH)	Health and Social Behavior Breadth	200L	2
Public Health (PB HLTH)	Health Policy and Management Breadth Course	W200E	3
Public Health (PB HLTH)	Environmental Health Sciences Breadth Course	W200F	2
Public Health (PB HLTH)	Health and Social Behavior Breadth	W200G	3
Public Health (PB HLTH)	Public Health Interventions: Theory, Practice, and Research	201E	2
Public Health (PB HLTH)	Community-Based Research and Interventions to Promote Health: Theory and Methods	201F	3
Public Health (PB HLTH)	Ethnic and Cultural Diversity in Health Status	202B	4
Public Health (PB HLTH)	Ethnic and Cultural Diversity in Health Status	C202B	3
Public Health (PB HLTH)	Advanced Alcohol Research Seminar	202G	1
Public Health (PB HLTH)	Ethnic and Cultural Diversity in Health Status	W202	3
Public Health (PB HLTH)	Theories of Health and Social Behavior	203A	3
Public Health (PB HLTH)	Mass Communications in Public Health	204A	3
Public Health (PB HLTH)	Community Organizing and Community Building for Health	204D	3
Public Health (PB HLTH)	Culture, Public Health Practice, and Eliminating Health Disparities: From Ideas to Action in the 21st Century	204F	3
Public Health (PB HLTH)	Research Advances in Health Disparities: Multidisciplinary Perspectives	204G	1
Public Health (PB HLTH)	Exploring Community Health Through Film	204H	1
Public Health (PB HLTH)	Mass Communication in Public Health	W204	3
Public Health (PB HLTH)	Program Planning, Development, and Evaluation	205	4
Public Health (PB HLTH)	Program Planning, Development, and Evaluation	W205	3
Public Health (PB HLTH)	PH Nutrition Core Course: Critical Issues in Public Health Nutrition	206	2
Public Health (PB HLTH)	Nutrition Status, Physical Activity, and Chronic Conditions	206A	3
Public Health (PB HLTH)	Food and Nutrition Policies and Programs	206B	3
Public Health (PB HLTH)	Nutritional Epidemiology	206C	3
Public Health (PB HLTH)	Food and Nutrition Programs and Policies in Developing Countries	206D	3
Public Health (PB HLTH)	Maternal and Child Health Nutrition	W206	3
Public Health (PB HLTH)	Public Health Aspects of Maternal and Child Nutrition	207A	2
Public Health (PB HLTH)	Public Health Aspects of Nutritional Care: In Hospital Setting	208A	5
Public Health (PB HLTH)	Public Health Aspects of Nutritional Care: In Selected Facilities	208B	3
Public Health (PB HLTH)	Maternal and Child Health Specialty Area Core Course	210	3
Public Health (PB HLTH)	Adolescent Health	210B	3
Public Health (PB HLTH)	Needs Assessment in Maternal and Child Health	210C	3
Public Health (PB HLTH)	Reproductive and Perinatal Epidemiology	210D	2
Public Health (PB HLTH)	Practicum in MCH Data Analysis I	210E	3
Public Health (PB HLTH)	Practicum In MCH Data Analysis II	210F	1
Public Health (PB HLTH)	International Maternal and Child Health	212A	2
Public Health (PB HLTH)	Migration and Health: A U.S.-Mexico Binational Perspective	212C	2
Public Health (PB HLTH)	Expanded Foundations of Global Health	212D	2
Public Health (PB HLTH)	Private Sector Health Services in Developing Countries	212E	2
Public Health (PB HLTH)	Family Planning, Population Change, and Health	213A	3
Public Health (PB HLTH)	Eat.Think.Design	214	3
Public Health (PB HLTH)	Biological Embedding of Social Factors	216A	2
Public Health (PB HLTH)	Aging and Public Health	217C	3
Public Health (PB HLTH)	Biological and Public Health Aspects of Alzheimer's Disease	C217D	3
Public Health (PB HLTH)	Evaluation of Health and Social Programs	218B	4
Public Health (PB HLTH)	Evaluation of Health and Social Programs	W218	3
Public Health (PB HLTH)	Advanced Methods: Qualitative Research	219A	3
Public Health (PB HLTH)	Community-Based Participatory Research in Public Health	219C	3
Public Health (PB HLTH)	Social and Behavioral Health Research: Introduction to Survey Methods	219D	3
Public Health (PB HLTH)	Introduction to Qualitative Methods in Public Health Research	219E	3
Public Health (PB HLTH)	Social and Behavioral Health Research: Introduction to Survey Methods	W219	3
Public Health (PB HLTH)	Health Policy Decision-Making	220	3
Public Health (PB HLTH)	Health Risk Assessment	220C	3
Public Health (PB HLTH)	Health Policy Advocacy	220D	3
Public Health (PB HLTH)	Global Health Policy	220E	2
Public Health (PB HLTH)	Health Workforce and Public Policy	220F	2
Public Health (PB HLTH)	Advocacy in Action	220G	3
Public Health (PB HLTH)	Mental Health Policies, Programs, and Services	221	2
Public Health (PB HLTH)	Understanding and Overcoming Health Care Disparities	221B	2
Public Health (PB HLTH)	Health Care Technology Policy	222A	2
Public Health (PB HLTH)	Introduction to the Health Care System	223A	3
Public Health (PB HLTH)	Cases in Health Management	223B	3
Public Health (PB HLTH)	Strategic Management and the Health Sector	223C	3
Public Health (PB HLTH)	Foundations of Health Policy and Management	223D	2
Public Health (PB HLTH)	Capstone Seminar in Health Policy and Management	223E	2
Public Health (PB HLTH)	Effective Public Health Negotiations	223F	2
Public Health (PB HLTH)	Strategic Management and the Health Sector	W223	3
Public Health (PB HLTH)	Health Care Organizations and Management	224A	3
Public Health (PB HLTH)	Advanced Health Care Organizations and Environments	224C	3
Public Health (PB HLTH)	Health Care Quality	224E	3
Public Health (PB HLTH)	Health Care Organizations and Management	W224	3
Public Health (PB HLTH)	Legal Basis for Health Care Delivery	225	3
Public Health (PB HLTH)	Health Economics A	226A	3
Public Health (PB HLTH)	Health Economics B	226B	3
Public Health (PB HLTH)	Economics of Population Health	226C	3
Public Health (PB HLTH)	Global Health Economics	226D	3
Public Health (PB HLTH)	Economics of Population Health	W226C	3
Public Health (PB HLTH)	Health Care Finance	227A	3
Public Health (PB HLTH)	Public Health and the Law	229	3
Public Health (PB HLTH)	Advanced Health Politics	230	3
Public Health (PB HLTH)	Analytic Methods for Health Policy and Management	231A	3
Public Health (PB HLTH)	Health Care Operations and Management Methods	231C	3
Public Health (PB HLTH)	Doctoral Seminar in Public Health Applications of Time Series Analysis	232	3
Public Health (PB HLTH)	Healthy Cities	C233	3
Public Health (PB HLTH)	Green Chemistry: An Interdisciplonary Approach to Sustainability	C234	3
Public Health (PB HLTH)	Impact Evaluation for Health Professionals	235	3
Public Health (PB HLTH)	U.S. Food and Drug Administration, Drug Development, and Public Health	236	2
Public Health (PB HLTH)	Theories and Methods in Health Policy and Health Services Research B	237B	2
Public Health (PB HLTH)	Introduction to Modern Biostatistical Theory and Practice	C240A	4
Public Health (PB HLTH)	Biostatistical Methods: Survival Analysis and Causality	C240B	4
Public Health (PB HLTH)	Biostatistical Methods: Computational Statistics with Applications in Biology and Medicine	C240C	4
Public Health (PB HLTH)	Biostatistical Methods: Computational Statistics with Applications in Biology and Medicine II	C240D	4
Public Health (PB HLTH)	Statistical Genomics	C240E	4
Public Health (PB HLTH)	Statistical Genomics	C240F	4
Public Health (PB HLTH)	Statistical Analysis of Categorical Data	241	4
Public Health (PB HLTH)	Biometrical Data Analysis--Pathological Incomplete Data and Pattern Recognition	242A	4
Public Health (PB HLTH)	Biometrical Data Analysis--Model Free Curve Estimation	242B	4
Public Health (PB HLTH)	Longitudinal Data Analysis	C242C	4
Public Health (PB HLTH)	Special Topics in Biostatistics	243A	1
Public Health (PB HLTH)	Information Systems in Public Health	243C	2
Public Health (PB HLTH)	Special Topics in Biostatistics: Adaptive Designs	243D	3
Public Health (PB HLTH)	Introduction to Multivariate Statistics	245	4
Public Health (PB HLTH)	Censored Longitudinal Data and Causality	C246A	4
Public Health (PB HLTH)	Statistical/Computer Analysis Using R	248	3
Public Health (PB HLTH)	Epidemiologic Methods I	250A	3
Public Health (PB HLTH)	Epidemiologic Methods II	250B	4
Public Health (PB HLTH)	Advanced Epidemiologic Methods	250C	4
Public Health (PB HLTH)	Epidemiologic Methods I	W250	3
Public Health (PB HLTH)	Practicum in Epidemiologic Methods I	251A	4
Public Health (PB HLTH)	Causal Inference and Meta-Analysis in Epidemiology	251C	2
Public Health (PB HLTH)	Applied Epidemiology Using R	251D	2
Public Health (PB HLTH)	Epidemiological Analysis	252	3
